"rules","support","confidence","coverage","lift","count"
"68","{Trans.=[271,540)} => {Lipstick=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"69","{Lipstick=[0,1]} => {Trans.=[271,540)}",0.333333333333333,0.333333333333333,1,1,270
"70","{Trans.=[271,540)} => {Eyeliner=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"71","{Eyeliner=[0,1]} => {Trans.=[271,540)}",0.333333333333333,0.333333333333333,1,1,270
"72","{Trans.=[271,540)} => {Bag=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"73","{Bag=[0,1]} => {Trans.=[271,540)}",0.333333333333333,0.333333333333333,1,1,270
"74","{Trans.=[540,810]} => {Blush=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"75","{Blush=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"76","{Trans.=[540,810]} => {Nail.Polish=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"77","{Nail.Polish=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"78","{Trans.=[540,810]} => {Brushes=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"79","{Brushes=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"80","{Trans.=[540,810]} => {Concealer=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"81","{Concealer=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"82","{Trans.=[540,810]} => {Eyebrow.Pencils=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"83","{Eyebrow.Pencils=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"84","{Trans.=[540,810]} => {Bronzer=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"85","{Bronzer=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"86","{Trans.=[540,810]} => {Lip.liner=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"87","{Lip.liner=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"88","{Trans.=[540,810]} => {Mascara=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"89","{Mascara=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"90","{Trans.=[540,810]} => {Eye.shadow=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"91","{Eye.shadow=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"92","{Trans.=[540,810]} => {Foundation=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"93","{Foundation=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"94","{Trans.=[540,810]} => {Lip.Gloss=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"95","{Lip.Gloss=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
