"","x"
"Arizona ",1
"Boston ",1
"Central ",1
"Commonwealth",1
"NY",2
"Florida ",1
"Hawaiian ",3
"Idaho",4
"Kentucky",1
"Madison ",1
"Nevada",4
"New England",3
"Northern",1
"Oklahoma",1
"Pacific ",3
"Puget",4
"San Diego",3
"Southern",1
"Texas",1
"Wisconsin",1
"United",3
"Virginia",1
